id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,zubr_id,observers,wrong-voters-number,major-violations,minor-violations
05-141-0105,Ščomyslica,minsk_suburb,53.824903,27.449533,5,,220,160,988.0,1380.0,2,54.0,2,2,13.0,2,0,,0,1,15.0,1,0,,0,0,8.0,0,3,338.0,1,212,560.0,154,4677,2,False,False,False
05-141-0106,Aziarco,minsk_suburb,53.843136,27.392705,5,,508,321,1669.0,2170.0,11,128.0,1,0,36.0,0,0,,0,2,24.0,0,2,,1,0,17.0,0,5,583.0,0,488,881.0,319,4678,3,False,True,True
05-141-0107,Aziarco,minsk_suburb,53.842374,27.398365,5,,286,173,1073.0,1518.0,2,60.0,1,0,11.0,0,0,13.0,0,2,26.0,2,2,,0,0,18.0,0,2,272.0,0,278,673.0,170,4679,7,False,False,False
05-141-0108,Юзуфово,village,54.10948,27.46674,5,,188,106,1158.0,1542.0,2,16.0,0,0,14.0,0,0,,0,2,16.0,0,1,,0,0,25.0,0,1,820.0,0,182,267.0,106,4680,3,False,False,False
06-012-0058,Babruysk,town_over100,53.1957,29.229535,6,,230,125,2011.0,2239.0,5,151.0,2,0,42.0,0,2,18.0,0,0,29.0,0,0,,0,0,20.0,0,1,1298.0,0,222,453.0,123,5204,1,False,False,False
06-012-0077,Babruysk,town_over100,53.163735,29.191321,6,,155,94,1262.0,1626.0,2,67.0,1,1,19.0,0,0,24.0,0,0,12.0,0,0,,0,0,15.0,0,2,618.0,1,150,507.0,92,5223,0,False,False,False
06-012-0081,Babruysk,town_over100,53.16197,29.19327,6,,95,45,1396.0,2018.0,2,215.0,0,0,20.0,0,0,,0,0,28.0,0,1,,0,0,21.0,0,0,432.0,0,92,680.0,45,5227,1,True,True,True
06-012-0082,Babruysk,town_over100,53.167633,29.19628,6,,170,93,849.0,988.0,4,39.0,0,2,6.0,0,0,,0,3,12.0,3,0,,0,0,29.0,0,1,521.0,0,160,242.0,90,5228,1,False,False,False
06-012-0083,Babruysk,town_over100,53.168162,29.19902,6,,123,74,814.0,1011.0,2,31.0,0,0,6.0,0,0,,0,1,6.0,1,0,,0,0,4.0,0,0,606.0,0,120,161.0,73,5229,1,False,False,False
06-012-0084,Babruysk,town_over100,53.16657,29.201292,6,,216,114,1579.0,1988.0,3,64.0,1,1,11.0,0,1,,0,1,19.0,0,2,,0,0,15.0,0,1,1065.0,0,207,405.0,113,5230,2,False,False,False
06-013-0020,Babruysk,town_over100,53.147315,29.226149,6,,205,111,1487.0,1799.0,4,121.0,1,0,36.0,0,1,,0,1,26.0,0,3,,0,1,33.0,1,0,648.0,0,195,623.0,109,5166,2,False,False,True
06-013-0021,Babruysk,town_over100,53.143534,29.197654,6,,204,111,1651.0,1790.0,4,156.0,0,0,57.0,0,0,21.0,0,2,50.0,0,0,,0,0,20.0,0,2,532.0,1,196,815.0,110,5167,1,True,False,False
06-013-0048,Babruysk,town_over100,53.096122,29.235365,6,,139,74,1447.0,1529.0,0,67.0,0,1,21.0,0,0,,0,0,14.0,0,0,,0,0,12.0,0,0,950.0,0,138,383.0,74,5194,4,True,True,True
06-024-0010,Mahilyow,city,53.933004,30.359131,6,,171,97,1442.0,1713.0,7,90.0,5,1,24.0,0,0,,0,1,10.0,1,0,,0,0,14.0,0,1,865.0,0,161,439.0,91,5260,2,False,False,True
06-121-0006,Вишов,village,53.983492,29.986357,6,,62,20,1409.0,1570.0,3,51.0,1,0,7.0,0,0,,0,0,18.0,0,0,,0,0,14.0,0,1,1176.0,0,58,138.0,19,5407,1,False,False,True
06-125-0012,Horki,town_below100,54.274617,30.991228,6,,160,81,1504.0,1794.0,6,40.0,1,1,12.0,0,0,,0,0,15.0,0,2,,0,0,6.0,0,2,1221.0,0,149,210.0,80,5500,2,False,False,False
06-129-0001,Klichaw,town_below100,53.482686,29.342714,6,,119,51,1530.0,1632.0,2,52.0,0,0,23.0,0,0,13.0,0,0,35.0,0,1,,0,1,17.0,0,3,830.0,0,112,560.0,51,5587,2,True,False,True
06-129-0003,Klichaw,town_below100,53.486983,29.33498,6,,115,47,1205.0,1476.0,4,64.0,0,2,27.0,1,0,15.0,0,0,23.0,0,1,,0,0,15.0,0,1,712.0,0,107,349.0,46,5589,2,True,False,True
06-135-0002,Asipovichy,town_below100,53.297584,28.633689,6,,160,90,2156.0,2197.0,4,195.0,1,1,44.0,0,0,,0,0,40.0,0,0,,0,1,26.0,1,2,1099.0,0,152,752.0,88,5742,0,False,False,False
06-135-0011,Asipovichy,town_below100,53.305696,28.6345,6,,181,117,1380.0,1719.0,2,87.0,0,0,36.0,0,1,,1,1,31.0,0,0,,0,1,9.0,0,2,570.0,1,174,647.0,115,5751,2,False,False,False
06-135-0020,Лапичи,village,53.434504,28.54775,6,,88,37,797.0,805.0,2,11.0,1,1,6.0,0,0,,0,0,2.0,0,0,,0,0,3.0,0,1,573.0,0,84,202.0,36,5760,1,False,False,False
06-135-0025,Елизово,town_below100,53.39358,29.007095,6,,188,104,1475.0,1586.0,0,11.0,0,0,7.0,0,1,3.0,0,0,21.0,0,1,,0,0,6.0,0,1,1091.0,0,185,336.0,104,5765,2,False,False,False
06-146-0008,Дашковский сельский Совет,village,53.811114,30.223099,6,,53,30,609.0,757.0,0,44.0,0,0,10.0,0,0,,0,0,16.0,0,0,,0,0,7.0,0,1,287.0,0,52,245.0,30,5690,0,False,False,False
06-146-0024,Полыковичи,city,53.98561,30.360856,6,,127,71,1105.0,1272.0,3,81.0,1,0,17.0,0,0,30.0,0,0,14.0,0,1,,0,0,16.0,0,3,721.0,1,120,226.0,69,5706,4,False,False,False
06-146-0025,Полыковичский сельский Совет,city,53.970296,30.379271,6,,131,72,1057.0,1300.0,5,112.0,1,0,24.0,0,0,,0,2,30.0,0,0,,0,0,6.0,0,1,445.0,0,123,440.0,71,5707,1,False,False,False
06-146-0035,Новое Пашково,city,53.956142,30.243087,6,,150,83,1163.0,1351.0,2,40.0,0,0,15.0,0,0,13.0,0,0,15.0,0,0,,0,0,10.0,0,0,646.0,0,148,424.0,83,5717,3,False,False,True
07-001-0005,Minsk,capital,53.888059,27.682358,7,,232,140,1735.0,1888.0,2,112.0,2,2,47.0,0,0,10.0,0,3,25.0,2,1,,0,1,77.0,0,2,820.0,0,221,644.0,136,159,1,True,False,False
