id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout,against,cherechen,corrupted,dmitriyev,kanopatskaja,tihanovkaja,lukashenko
03-096-0049,Mazyr,town_over100,52.068998,29.202065,3,,221,113,,,1,,0,1,,1,1,,0,0,,0,0,,0,0,,0,5,,0,213,,112,1367.42,1061.39,0.7762,76.1207,23.1942,15.7223,24.4396,16.1893,555.291,350.435
03-096-0050,Mazyr,town_over100,52.070797,29.202595,3,,177,102,,,2,,0,0,,0,1,,0,0,,0,0,,0,0,,0,2,,0,172,,102,1367.42,1061.39,0.7762,59.1714,18.0297,12.2215,18.9978,12.5845,448.404,491.983
03-096-0051,Барбаров,village,51.905406,29.480845,3,,14,5,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,13,,5,659.248,524.959,0.7963,9.19387,2.70171,1.99604,3.26624,3.00414,55.172,449.625
03-096-0052,Каменка,village,51.983349,29.126588,3,,21,11,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,20,,11,659.248,524.959,0.7963,12.8232,3.76821,2.78398,4.5556,4.19003,84.88,411.958
03-096-0053,Мелешковичи,village,51.923898,28.984511,3,,25,19,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,24,,19,659.248,524.959,0.7963,14.8971,4.37765,3.23423,5.29238,4.86768,101.856,390.434
03-096-0054,Сосновый,village,52.000369,29.170184,3,,34,15,,,1,,1,0,,0,0,,0,1,,0,0,,0,0,,0,1,,0,31,,14,659.248,524.959,0.7963,23.4338,6.88626,5.08761,8.32518,7.65711,131.564,342.005
03-096-0055,Бобренята,village,52.017038,29.285231,3,,44,26,,,1,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,42,,26,659.248,524.959,0.7963,26.6833,7.84114,5.79308,9.47959,8.71888,178.248,288.195
03-096-0056,Дрозды,village,52.052846,29.186605,3,,62,25,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,60,,25,659.248,524.959,0.7963,36.0158,10.5836,7.81922,12.7951,11.7683,254.64,191.337
03-096-0057,Козенки,village,52.020153,29.185293,3,,126,59,,,0,,0,1,,1,0,,0,0,,0,0,,0,2,,0,0,,0,123,,58,896.258,713.691,0.7963,71.1333,20.9032,15.4434,25.271,23.2431,522.012,35.6845
03-096-0058,Козенки,village,52.018114,29.189632,3,,198,98,1846,1944,7,29,1,2,14,0,2,17,1,1,11,0,0,,0,0,20,0,1,1184,0,185,573,96,1944,1548.01,0.7963,127.816,37.5599,27.7495,45.4083,41.7644,785.14,482.572
03-096-0059,Лучежевичи,village,52.092556,29.175593,3,,13,10,,,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,12,,10,659.248,524.959,0.7963,8.6754,2.54935,1.88348,3.08205,2.83473,50.928,455.006
03-096-0060,Новики,village,52.019533,29.311893,3,,75,45,628,662,1,-23,0,0,8,0,0,,0,0,15,0,0,,0,0,2,0,1,312,0,73,314,45,662,527.151,0.7963,42.7559,12.5642,9.28254,15.1896,13.9707,309.812,123.576
03-096-0061,Криничный,village,51.994546,29.325781,3,,122,68,,,3,,1,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,118,,67,867.806,691.034,0.7963,70.9946,20.8625,15.4133,25.2218,23.1978,500.792,34.5517
03-096-0062,Творичевка,village,51.979682,29.236336,3,,14,8,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,8,659.248,524.959,0.7963,7.25861,2.13301,1.57588,2.57872,2.37178,59.416,449.625
03-096-0063,Махновичи,village,51.881694,28.803078,3,,18,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,18,,6,659.248,524.959,0.7963,9.3325,2.74244,2.02613,3.31549,3.04943,76.392,428.101
03-096-0064,Рудня,village,51.884735,29.195588,3,,48,18,,,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,47,,18,659.248,524.959,0.7963,26.8219,7.88188,5.82318,9.52884,8.76418,199.468,266.671
03-096-0065,Осовец,village,52.04857,28.696781,3,,11,6,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,11,,6,659.248,524.959,0.7963,5.70319,1.67594,1.23819,2.02613,1.86354,46.684,465.768
