id,town,area,latitude,longitude,region
06-146-0017,Никитиничи,village,53.963346,30.1131,6
06-146-0018,Махово,village,53.702766,30.505961,6
06-146-0019,Грибаны,village,53.99698,30.509617,6
06-146-0020,Мосток,village,53.978928,30.460578,6
06-146-0021,Мостокский сельский Совет,village,53.971048,30.510686,6
06-146-0022,Амховая 1,village,53.792981,30.527619,6
06-146-0023,Подгорье,village,53.826067,30.443582,6
06-146-0024,Полыковичи,city,53.98561,30.360856,6
06-146-0025,Полыковичский сельский Совет,city,53.970296,30.379271,6
06-146-0026,Николаевка 2,city,53.952973,30.384347,6
06-146-0027,Семукачи,village,53.74749,29.864141,6
06-146-0028,Сидоровичский сельский Совет,village,53.75347,30.360505,6
06-146-0029,Сидоровичи,village,53.684681,30.37796,6
06-146-0030,Сухари,village,53.959749,30.706923,6
06-146-0031,Голынец 2,city,53.881696,30.194712,6
06-146-0032,Тишовка,city,53.88626,30.246464,6
06-146-0033,Буйничи,city,53.856764,30.263487,6
06-146-0034,Буйничи,city,53.859207,30.260882,6
06-146-0035,Новое Пашково,city,53.956142,30.243087,6
06-146-0036,Речки,village,54.028016,30.233888,6
07-001-0001,Minsk,capital,53.888059,27.682358,7
07-001-0002,Minsk,capital,53.887969,27.685403,7
07-001-0003,Minsk,capital,53.888059,27.682358,7
07-001-0004,Minsk,capital,53.887969,27.685403,7
07-001-0005,Minsk,capital,53.888059,27.682358,7
07-001-0006,Minsk,capital,53.887969,27.685403,7
07-001-0007,Minsk,capital,53.88273,27.692464,7
07-001-0008,Minsk,capital,53.882396,27.691251,7
07-001-0009,Minsk,capital,53.88273,27.692464,7
07-001-0010,Minsk,capital,53.882396,27.691251,7
07-001-0011,Minsk,capital,53.880358,27.685206,7
07-001-0012,Minsk,capital,53.880358,27.685206,7
07-001-0013,Minsk,capital,53.880358,27.685206,7
07-001-0014,Minsk,capital,53.879721,27.68093,7
07-001-0015,Minsk,capital,53.875071,27.689131,7
07-001-0016,Minsk,capital,53.875071,27.689131,7
07-001-0017,Minsk,capital,53.875071,27.689131,7
07-001-0018,Minsk,capital,53.870437,27.673132,7
07-001-0019,Minsk,capital,53.867814,27.68481,7
07-001-0020,Minsk,capital,53.867814,27.68481,7
07-001-0021,Minsk,capital,53.867814,27.68481,7
07-001-0022,Minsk,capital,53.862998,27.680472,7
07-001-0023,Minsk,capital,53.82849,27.769917,7
07-001-0024,Minsk,capital,53.833146,27.753181,7
07-001-0025,Minsk,capital,53.845015,27.699722,7
07-001-0026,Minsk,capital,53.84502,27.701142,7
07-001-0027,Minsk,capital,53.84502,27.701142,7
07-001-0028,Minsk,capital,53.84502,27.701142,7
07-001-0029,Minsk,capital,53.845015,27.699722,7
07-001-0030,Minsk,capital,53.837837,27.698519,7
07-001-0031,Minsk,capital,53.840499,27.704358,7
07-001-0032,Minsk,capital,53.837837,27.698519,7
07-001-0033,Minsk,capital,53.840499,27.704358,7
07-001-0034,Minsk,capital,53.837837,27.698519,7
07-001-0035,Minsk,capital,53.837837,27.698519,7
07-001-0036,Minsk,capital,53.838613,27.655139,7
